genre,description,year,ancestor
Classical period,genre of Western music (c. 1730–1820),1730,classical music
Cleveland punk,"1970s music scene in Ohio, US",,proto-punk
Colombian cumbia,music genre from Colombia,,cumbia
Colombian folk music,music genre,,music of Colombia
Colombian hip-hop,music genre and scene,,Latin hip-hop
Colombian rock,rock music made in or associated with Colombia,,rock music
Colombian tamborito,musical genre and folk dance from the Pacific Region of Colombia,,dance
Colossal Baroque,music genre,1600,
Columbia,type of Cuban rumba,,Cuban rumba
Combined rhythm,music genre,,
Composer tributes,music genre,,homage
Concentus,music genre,,Gregorian chant
Concert march,music genre,,march
Concert polka,music genre,,polka
Concerted madrigal,music genre,1600,
Congolese hip hop,music genre or scene,,African hip-hop
Congolese rumba,genre of African music and dance,1940,music of Congo
Contemporary Catholic liturgical music,encompasses a comprehensive variety of styles of music for Catholic liturgy that grew both before and after the reforms of the Second Vatican Council,,church music
Contemporary Celtic music,music genre,,Celtic music
Contemporary Latin music,music genre,,contemporary music
Continental jazz,music genre,,jazz
Contradanza,Spanish and Spanish-American version of the contradanse music and dance genre,,dance
Cool Cymru,"culture, music and arts era",,
Coptic music,music genre,,Christian music
Copy thachin,genre of music in Myanmar,,music of Myanmar
Corinhos,music genre,,music of Brazil
Cornish folk music,music genre,,English folk music
Corrido,traditional style of dance and music of Spain,,dance
Corsican folk music,music genre,,French folk music
Cosmic American,music genre,,popular music
Cossack song,music genre,,Slavic folk song
Costa Rican rock,music genre or scene,,rock music
Count singing,choral rehearsal technique involving replacing lyrics with note positions within a measure,,vocal music
Creole jazz,music genre,,jazz
Creole music,music genre,,music of the United States
Cretan folk music,music genre,,music of Crete
Crimean Tatar music,music genre,,Tatar music
Croatian folk music,music genre,,music of Croatia
Croatian hip hop,music genre or scene,,music of Croatia
Croatian pop,music genre and scene,,pop music
Croatian pop-folk,music genre,,Croatian popular music
Croatian rock,music genre or scene,,rock music
Croatian tamburica,Type of folk song,,traditional folk song
Cruel romance,music genre,,Russian romance
Csango folk music,music genre,,Balkan folk music
Cuban charanga,music genre,,music of Cuba
Cuban folk music,music genre,,music of Cuba
Cuban hip hop,music genre or scene,,music of Cuba
Cuban jazz music,music genre and scene,,jazz
Cuban pop,music genre and scene,,pop music
Cuban rock,music genre or scene,,rock music
Cuban rumba,music genre originating from Cuba,,music of Cuba
Cuban salsa,form of salsa dance that originated in Cuba and accompanying music,,salsa
Cyclic mass,music genre,,mass
Czech bluegrass,subgenre of bluegrass music,,bluegrass music
Czech folk music,music genre,,music of the Czech Republic
Czech hip hop,subculture in Czechia,,music of the Czech Republic
Czech national classical music,music genre,,classical music
Czech rock,music genre or scene,,rock music
Czech tramping music,music genre,,country music
D-beat,genre of hardcore punk,1980,hardcore punk
DMV hip-hop,"music scene in Washington, D.C.",,East Coast hip-hop
DPRK-pop,music genre originating in North Korea,,pop music
Dadakuada,music genre,,
Dadra,rhythmic cycle in Hindustani classical music,,Hindustani classical music
Daechwita,traditional Korean musical form (military music),,military music
Dagbon music and dance,Ghanaian tradition of the Dagbamba,,music of Ghana
Dagestani folk music,music genre,,music of Dagestan
Dahira,chant religieux,,chant
Dangdut hip-hop,Indonesian music genre,,popular music
Danish folk music,traditional music of Denmark,,Nordic folk music
Danish hip hop,music genre or scene,,music of Denmark
Danish jazz,jazz music in Denmark,,jazz
Danish rock,music genre or scene,,rock music
Danmono,traditional Japanese style of instrumental music for the koto,,sokyoku
Danza,"musical genre that originated in Ponce, Puerto Rico",,music of Puerto Rico
Dapha music,"Newa artform in which singers and musicians perform devotional music, based on classical raga and taal system",,Newar music
Dasakathia,folk music and dance of Odisha,,Indian folk music
Dawr,music genre,,vocal music
De dragoste,music genre,,
Delta blues,music subgenre; early style of blues music,1928,blues
Dene music,music genre,,
Denver sound,music genre or scene,,alternative country
Desi hip hop,music genre and scene,2002,Asian hip-hop
Detroit blues,"blues played by musicians residing in and around Detroit, Michigan",,blues
Detroit hardcore,hardcore punk genre,,hardcore punk
Detroit house,music genre,,house music
Detroit rock,music genre or scene,,rock music
Detroit sound,hip-hop subgenre originating from the Michigan city of Detroit,,Midwest hip-hop
Detroit techno,type of techno music,1984,techno
Deuda song,music genre,,
Deutschfolk,genre of contemporary folk music,,music of Germany
Dhamail,music genre and type of dance,,music of Bangladesh
Dhenkir Gaan,music genre,,South Asian folk music
Dhumpa sangita,music genre,1800,Indian folk music
Dhun,instrumental piece,,Hindustani classical music
Die anderen Bands,alternative musical groups during the 1980s in the GDR,,
Dihanaam,music genre,,
Dikir Barat Singapura,cultural dance performance,,
Dikir barat,Malay folk genre and a form of music often sung competitively between groups,,Malay music
Dingxian music,music genre,,
Dinka music,music genre,,music of East Africa
Discant,medieval music style,,medieval music
Disney music,music genre,,children's music
Dixieland jazz,style of jazz music,1910,jazz
Domestic chant,music genre,,chant
Dominican dembow,music subgenre,2000,music of the Caribbean
Dominican hip hop,music genre or scene,,hip-hop
Dominican rock,music genre or scene,,rock music
Dondang Sayang,Malaccan love ballads,,Malay music
Donosti sound,music genre,1989,pop rock
Doom WAD music,music genre or scene,,MIDI music
Downtown music,avant-garde music scene of downtown Manhattan in the mid-20th century,,music of New York City
Drum and bass electronic rock,hybrid music genre,2009,electronic rock
Druze music,music genre,,Levantine Arabic music
Dumka,music genre,,poetry
Dunedin sound,genre of indie pop music,1981,indie rock
Duranguense,music genre closely related to the Mexican styles of banda and norteño,,regional Mexican
Dutch cabaret,music genre,,musical theater
Dutch folk music,music genre,,music of the Netherlands
Dutch hip hop,music genre or scene,,music of the Netherlands
Dutch house,subgenre of electronic dance music,2007,electro house
Dutch jazz,music genre or scene,,jazz
Dutch punk,music genre or scene,,punk rock
Dutch rock,Dutch appreciation of and contributions to the rock music genre,,rock music
Dutch-language music,music genre,,music
Düsseldorf school,music genre,,German electronic music
Dōjin music,self-published fan music,2000,dōjin work
ECM style jazz,music genre,,jazz
EDM trap music,electronic dance music genre,2010,bass music (EDM)
Early Norwegian black metal scene,Norwegian music scene,,black metal
East African urban music,music genre,,music of East Africa
East Asian classical music,music genre,,art music
East Asian court ceremonial music,music genre,,music of East Asia
East Asian folk music,music genre,,music of East Asia
East Bay Grease,genre of music,,
East Coast blues,music genre,,blues
East Coast club,term that groups the interrelated Electronic Dance Music styles that arose in cities on the East Coast of the United States,1991,US bass music
East Coast hip-hop,regional subgenre of hip-hop music that originated in New York City during the 1970s,1978,American hip-hop
East Coast jazz,music genre or scene,,jazz
East Germany punk,music genre or scene,,German punk
East Slavic church music,music genre,,music of Europe
Easter music,music composed and dedicated to Easter celebrations,,holiday music
Eastern European pop,music genre and scene,,pop music
Eastern Orthodox liturgical music,music genre,,Eastern Orthodox music
Eastern Orthodox music,Liturgical music of the Orthodox Churches and the Eastern Catholic Churches,,Christian music
Eastern-style polka,music genre,,polka
Ecuadorian rock,music genre or scene,,rock music
Edo funk,Nigerian musical genre,,music of Nigeria
Eefing,Appalachian vocal technique,,
Eelam Melody,"Music genre of Eelam, Sri Lanka",,melody
Egerland music,music genre,,traditional folk music
Egwu ekpili,"It is an Igbo folk music that sings of political, religious and social events. It originates in Anambra State, Nigeria.",,
Egyptian hip-hop,music genre or scene,,African hip-hop
Egyptian indie music,music genre or scene,,independent music
Egyptian pop,music genre or scene,,pop music
Egyptian tarab,music genre,,music of Egypt
Ekmelic music,music genre,,microtonal music
El vito,music genre and type of dance,,folk dance
Elizabethan song,music genre,,Renaissance music
English Pastoral School,school of English classical music composers from the early to middle twentieth century,,classical music
English art song,music genre,,art song
English country music,music genre,,English folk music
English folk music,tradition-based music originating in England,,British folk music
Er ren zhuan,music genre and type of dance,,juggling
Eresiak,Basque dirges from the Middle Ages,,song
Esperanto music,"music written, recorded, and performed in Esperanto",,music
Estirtu,music genre,,Kazakh folk music
Estonian folk music,music genre,,music of Estonia
Estonian punk,overview of Estonian punk music,,punk rock
Estonian rock,music genre or scene,,rock music
Ethio-jazz,music genre,1968,jazz
Ethiopian chant,liturgical chant used by Ethiopian Orthodox Tewahedo Church,,Christian hymn
Ethiopian church music,music genre,,church music
Ethiopian pop,music genre or scene,,pop music
Ethiopic music,music of people who speak Ethiopian Semitic languages,,music of Northeast Africa
Eurobeat,music genre,1988,electronic dance music
Eurodance,music genre,1988,electronic dance music
Eurodisco,music genre,1974,disco
Eurohouse,subgenre of house music,1988,house music
Eurometal,music genre or scene,,metal music
European folk music,music genre,,traditional folk music
European free jazz,music genre,,free jazz
European hip-hop,group of music genres or scenes,,hip-hop
European jazz,music genre and scene,,jazz
European tango,music genre,,music of Europe
Europop,late-’60s–pop-music genre,1965,pop music
Eurorock,music genre or scene,,rock music
